Course Number,Course Name,Area,Econ,Tech,Intel,IS,Mil Ops,TSV,USNP,Other,Notes
SEST-4444,Combating Terrorist Financing,,ECON,,,,,TSV,,,
SEST-4445,The Forensics of Mass Killing,,,,,,,TSV,,,
SEST-4447,Jewish/Muslim Coexistence in MidEast&NAfrica,AREA,,,,IS,,,,,
SEST-5000,Theory and Practice of Security,,,,,,,,,CORE,
SEST-5001,Strategy/Policy/Military Operations,,,,,,,,,CORE,
SEST-5100,U.S. National Security Policy,,,,,,,,USNP,CORE,Core course for U.S. National Security Policy Concentration
SEST-5210,Theory and Practice of Intelligence,,,,INTEL,,,,USNP,CORE,Core course for Intelligence Concentration 
SEST-5300,Core: International Security,,,,,IS,,,,,Core course for International Security Concentration 
SEST-5460,Terrorism/Counterterrorism,,,,,IS,,TSV,USNP,CORE,Core course option for Terrorism and Substate Violence 
SEST-5514,Methods of Military Analysis,,ECON,,,,MIL OPS,,USNP,,Core course option for Military Operations concentration
SEST 5526,Modern Conv Mil Ops,,,,,,MIL OPS,,USNP,,Formerly Advanced Mil Ops - Core course option for Military Operations concentration
SEST-5650,"Nuclear Weapons: History, Strategy, Technology",,,TECH,,,MIL OPS,,USNP,CORE,Core Course option for Technology concentration
SEST-5700,Tools for Technology Policy,,,TECH,,,,,USNP,,
SEST-5732,"Core: Nuclear Deterrence: Past, Present, and Future ",,,TECH,,,MIL OPS,,USNP,,Core course option for Technology and Security Concentration 
SEST-5733,Cyber Operations,,,TECH,,,MIL OPS,,USNP,,Core Course option for Technology concentration
SEST-5734,Artificial Intelligence & National Security,,,TECH,INTEL,,,,USNP ,,Core Course option for Technology concentration 
SEST-6370,Ethnic Conflict and Civil War,,,,,IS,,TSV,,,
SEST-6400,The Evolution of Asia Strategy,AREA,,,,IS,,,,,
SEST-6410,Technology & National Security,,,TECH,,,,,,,
SEST-6502,Research Methods for Security Studies,,,,INTEL,IS,MIL OPS,TSV,USNP,,
SEST-6503,Writing for Security Professionals,,,,INTEL,IS,,,USNP,,
SEST-6505,Comparative Civil-Military Relations,,,,,IS,MIL OPS,,,,
SEST-6506,Game Theory,,ECON,,,,,,,,
SEST-6507,Intelligence Oversight,,,,INTEL,,,,,,
SEST-6508,Writing for Intel/Analysis,,,,INTEL,,,,,,
SEST-6509,"National Security Planning, Strategy, and Decision-Making for the 21st Century",,,,,,,,USNP,,
SEST-6510,Transnational Institutions in Africa,AREA,,,,IS,,,,,
SEST-6511,NSC: US Policy via Simulations,,,,,,,,USNP,,
SEST-6512,Congress and US National Security Policy,,,,,,,,USNP,,
SEST-6513,Russian Intel/Info Operations,AREA,,,INTEL,IS,,,,,
SEST-6514,AI & Disinformation,,,TECH,,,,,,,
SEST-6515,Net Assessment/Strategic Think,,,TECH,INTEL,,MIL OPS,,USNP,,
SEST-6516,Military Effectiveness,,,,,,MIL OPS,,USNP,,
SEST-6517,Ops Research,,ECON,,,,,,,,
SEST-6518,"Space Strategy, Policy, and Operations",,,TECH,,,MIL OPS,,USNP,,
SEST-6519,Domestic Intel & Homeland Sec,,,,INTEL,,,TSV,USNP,,
SEST-6520,Counterinsurgency,,,,,,MIL OPS,TSV,USNP,,
SEST-6522,Comparative Pol: Middle East,AREA,,,,IS,,,,,
SEST-6523,Armed Group Military Integration,,,,,IS,,,,,
SEST-6524,China's Grand Strategy,AREA,,,,IS,,,,,
SEST-6525,South-East Asian Security,AREA,,,,IS,,TSV,,,
SEST-6527,Indian Foreign Policy,AREA,,,,IS,,,,,
SEST-6529,Latin American Politics & Security,AREA,,,,IS,,,,,
SEST-6531,Great Power Strategy: US/China,,,,,IS,,,USNP,,
SEST-6532,Comparing Intelligence Services,,,,INTEL,,,,,,
SEST-6533,Civil Wars & the Middle East,AREA,,,,IS,,TSV,,,
SEST-6534,Globalization and Security ,,,,,IS,,,,,
SEST-6535,Economics and Security: Microdimensions,,ECON,,,,,TSV,,,
SEST-6536,"The UN, US and Peacekeeping ",,,,,IS,MIL OPS,,,,
SEST-6538,Military Analysis,,,,,,MIL OPS,,,,
SEST-6539,Economics of Saudi Power,AREA,ECON,,,IS,,,,,
SEST-6540,PRC Intel/Security/Influence,AREA,,,INTEL,IS,,,,,
SEST-6541,Diversity and Inclusion in CR/Development,,,,,IS,,,,,
SEST-6542,Security Challenges of Illicit Economies,,ECON,,,IS,,TSV,,,
SEST-6543,Crisis Decision-Making in Simulations,,,,,,,,USNP,,
SEST-6544,Gender and Terrorism,,,,,,,TSV,,,
SEST-6545,(Dis)Info Wars: Geopolitics In the Digital Age,,,TECH,,IS,,,,,
SEST-6546,"Borders, Power, and Security",,,,,IS,,,,,
SEST-6547 ,Homegrown Radicalization and Terrorist Recruit,,,,,,,TSV,,,
SEST-6548,Weapons Proliferation and Security,,,TECH,,IS,,,,,
SEST-6549,"Security, Climate Change, and Migration",,,,,IS,,,USNP,,
SEST-6551,"Christianity, Nationalism & Violence",,,,,,,TSV,USNP,,
SEST-6552,Disinformation/Info Ops&Strat,,,,INTEL,,,,,,
SEST-6553,International Negotiations & Crisis Response,,,,,IS,,,,,
SEST-6554,Military Innovation and Security,,,TECH,,,MIL OPS,,USNP,,
SEST-6555,Crises and Responses in Transatlantic Relations,AREA,,,,IS,,,USNP,,
SEST-6556,Global Health Security,,,,,IS,,,,,
SEST-6557,The Future of Arms Control,,,TECH,,IS,MIL OPS,,USNP,,
SEST-6558,Political History of Afghanistan,AREA,,,,IS,,,,,
SEST-6559,Missile Technology and Missile Defense,,,TECH,,,MIL OPS,,,,
SEST-6560,Basics of Wargaming/Wargaming for Policy Analysis ,,,,,,MIL OPS,,,,
SEST-6561,Modeling Complexity: Int Sec,,,TECH,,IS,,,,,
SEST-6562,Countering Info Disorder,,,,INTEL,,,,,,
SEST-6563,Central Asia and Eurasian Geopolitics,AREA,,,,IS,,,,,
SEST-6564,US Nuclear Strategy,,,TECH,,,MIL OPS,,USNP,,
SEST-6565,Environmental Security ,,ECON,,,IS,,,USNP,,
SEST-6566,Biotechnology and Security,,,TECH,,,,,,,
SEST-6567,Space Tech & Security,,,TECH,,,MIL OPS,,USNP,,
SEST-6568,Human Behavior in War,,,,,IS,MIL OPS,TSV,,,
SEST-6569,Theory of Cyberwar,,,TECH,,,MIL OPS,,,,
SEST-6570,African Security Issues & Policy,AREA,,,,IS,,,,,
SEST-6571,Security Issues in East Asia,AREA,,,,IS,,,,,
SEST-6572,"Europe, Security & Competition",AREA,,,,IS,,,,,
SEST-6573,Security Issues of South Asia,AREA,,,,IS,,TSV,,,
SEST-6574,National Security Surveillance,,,,INTEL,,,,USNP,,
SEST-6575,Cyber Pol for Nat and Econ Security,,,TECH,,,,,,,
SEST-6576,Chinese Open Source Analysis,,,TECH,INTEL,,,,,,
SEST-6577,GIS for Security Studies,,,TECH,INTEL,,,,,,
SEST-6579,Warfare in the Middle East,AREA,,,,IS,MIL OPS,TSV,,,
SEST-6580,Stability Challenges: South/SE Asia,AREA,,,,IS,,TSV,,,
SEST-6581,Challenges of Chem/Bio Weapons,,,TECH,,IS,,,,,
SEST-6582,Defense & Security Policies of US Allies and Partners Indo-Pacific,AREA,,,,IS,,,USNP,,
SEST-6583,China and its Military,AREA,,,,IS,MIL OPS,,,,
SEST-6584,Global Cyber Threats,,,TECH,INTEL,,MIL OPS,,,,
SEST-6585,Security and Governance in North Africa,AREA,,,,IS,,,,,
SEST-6586,Europe: Radicalism and Terrorism,AREA,,,,IS,,TSV,,,
SEST-6587,Technology Policy Across Borders ,,,TECH,,IS,,,,,
SEST-6589,Central Asia & South Caucasus,AREA,,,,IS,,,,,
SEST-6591,Political Economy of Contemporary Conflict,,ECON,,,IS,,TSV,USNP,,
SEST-6592,International Arms Trade,,ECON,,,IS,,,,,
SEST-6593,Post 9/11Terror/Intel Analysis,,,,INTEL,,,TSV,,,
SEST-6594,Energy and Security,,,,,IS,,,USNP,,
SEST-6595,Climate Change in the US: Econ and Nat Sec,,,,,IS,,,,,
